name,country_country_code,port_code,shipment_type_name
ABU DHABI,AE,AUH,Ocean
ABUDHABIKHALIFA,AE,KHL,Ocean
AL FUJAIRAH,AE,FJR,Ocean
DUBAI,AE,DXB,Ocean
JEBELALI,AE,JE4,Ocean
JEBELALI,AE,JE3,Ocean
JEBELALI,AE,JEA,Ocean
JEBELALI,AE,JAL,Ocean
JEBELALI,AE,JE2,Ocean
JEBELALI,AE,JE1,Ocean
KHOR AL FAKKAN,AE,KLF,Ocean
MINA QABOOS,AE,MQA,Ocean
SHARJAH,AE,SHJ,Ocean
ARUBA,AN,AUA,Ocean
CURACAO,AN,CUR,Ocean
LOBITO,AO,LOB,Ocean
LUANDA,AO,LAD,Ocean
BUENOS AIRES,AR,BUE,Ocean
PAGO PAGO,AS,PPG,Ocean
ADELAIDE,AU,ADL,Ocean
ALBANY,AU,ALH,Ocean
BELLBAY,AU,BEL,Ocean
BRISBANE,AU,BNE,Ocean
BROOME,AU,BME,Ocean
BURNIE,AU,BUR,Ocean
CAIRNS,AU,CNS,Ocean
DARWIN,AU,DRW,Ocean
DEVONPORT,AU,DPO,Ocean
FREMANTLE,AU,FRE,Ocean
GEELONG,AU,GEX,Ocean
HOBART,AU,HBA,Ocean
LAUNCESTON,AU,LST,Ocean
MELBOURNE,AU,MEL,Ocean
NEWCASTLE,AU,NTL,Ocean
PORT HEDLAND,AU,PHE,Ocean
SYDNEY,AU,SYD,Ocean
TOWNSVILLE,AU,TSV,Ocean
BAHRAIN,BA,KBS,Ocean
BAHRAIN,BA,BAH,Ocean
BRIDGETOWN,BB,BGI,Ocean
CHALNA,BD,CHL,Ocean
CHITTAGONG,BD,CGP,Ocean
MONGLA/CHALNA,BD,MON,Ocean
ANTWERPEN,BE,ANR,Ocean
GENT,BE,GNE,Ocean
ZEEBRUGGE,BE,ZEE,Ocean
VARNA,BG,VAR,Ocean
BAHRAIN,BH,BAH,Ocean
COTONOU,BJ,COO,Ocean
BRUNEI TOWN,BN,BTN,Ocean
SERIA,BN,SER,Ocean
BRRSH,BR,RSH,Ocean
FORTALEZA,BR,FOR,Ocean
ITAGUAI,BR,IGI,Ocean
ITAJAI,BR,ITJ,Ocean
ITAQUI,BR,ITQ,Ocean
MANAUS,BR,MAO,Ocean
NAVEGANTES,BR,NVT,Ocean
PARANAGUA,BR,PNG,Ocean
PECEM,BR,PEC,Ocean
PORTO ALEGRE,BR,POA,Ocean
RECIFE,BR,REC,Ocean
RIO DE JANEIRO,BR,RIO,Ocean
RIO GRANDE,BR,RIG,Ocean
SALVADOR,BR,SSA,Ocean
SANTOS,BR,SSZ,Ocean
SAO FRANCISCO,BR,QFS,Ocean
SEPETIBA,BR,SPB,Ocean
SUAPE,BR,SUA,Ocean
VITORIA,BR,VIX,Ocean
FREEPORT,BS,FPO,Ocean
NASSAU,BS,NAS,Ocean
BELIZE CITY,BZ,BZE,Ocean
EDMONTON,CA,EDM,Ocean
HALIFAX,CA,HAL,Ocean
LONGBEACH,CA,LMN,Ocean
MONTRAL,CA,MTL,Ocean
MONTREAL,CA,MTR,Ocean
PORTLAND,CA,PT1,Ocean
QUEBEC,CA,QUE,Ocean
ST JOHNS,CA,SJE,Ocean
TORONTO,CA,TOR,Ocean
VANCOUVER,CA,VA1,Ocean
VANCOUVER,CA,VAN,Ocean
VANCOUVER,CA,VCP,Ocean
VANCOUVER,CA,VA4,Ocean
VANCOUVER,CA,VA3,Ocean
VANCOUVER,CA,YV1,Ocean
VANCOUVER,CA,VA2,Ocean
VANCOUVER 1,CA,YCR,Ocean
VANCOUVER 2,CA,KCR,Ocean
VANCOUVER 3,CA,VCR,Ocean
VANCOUVER4,CA,VCJ,Ocean
VANCOUVER4,CA,VTM,Ocean
VANCOUVERA,CA,VAA,Ocean
VANCOUVERB,CA,VAB,Ocean
VANCOUVERC,CA,VAC,Ocean
VANCOUVERD,CA,VAD,Ocean
VANCOUVERE,CA,VAE,Ocean
POINTE NOIRE,CG,PNR,Ocean
CHIWAN,CH,IWA,Ocean
ABIDJAN,CI,ABJ,Ocean
ANTOFAGASTA,CL,ANF,Ocean
ARICA,CL,ARI,Ocean
IQUIQUE,CL,IQQ,Ocean
LIRQUEN,CL,LQN,Ocean
MEJILLONES,CL,MJS,Ocean
PUARTOANGAMOS,CL,PAG,Ocean
SAN ANTONIO,CL,SAI,Ocean
SAN ANTOONIO,CL,QTN,Ocean
SANVINCENTE,CL,SVE,Ocean
TALCAHUANO,CL,THO,Ocean
VALPARAISO,CL,VAP,Ocean
DOUALA,CM,DLA,Ocean
CHIWAN,CN,CWN,Ocean
DACHANBAY,CN,DCB,Ocean
DAFENG,CN,DFL,Ocean
DAFENG,CN,DFE,Ocean
DALIAN,CN,DLC,Ocean
FANGCHENG,CN,FAN,Ocean
FUQING,CN,FUG,Ocean
FUZHOU,CN,FOC,Ocean
GZNANSHA,CN,GNS,Ocean
HUANG PU,CN,HUA,Ocean
HUANGPU,CN,HUP,Ocean
JINTANG,CN,JIT,Ocean
JINZHOU,CN,JNZ,Ocean
LIANYUNGANG,CN,LYG,Ocean
LONGKOU,CN,LKU,Ocean
NANJING,CN,NKG,Ocean
NANJING,CN,CNJ,Ocean
NANSHA,CN,NNS,Ocean
NANSHA,CN,NSA,Ocean
NINGBO,CN,NGB,Ocean
NINGBO,CN,NBO,Ocean
QINGTAO,CN,TAO,Ocean
QINHUANGDAO,CN,QHA,Ocean
QUANZHOU,CN,QZJ,Ocean
RIZHAO,CN,RZH,Ocean
SHANGHAI,CN,SH1,Ocean
SHANGHAI,CN,SH2,Ocean
SHANGHAI,CN,SHA,Ocean
SHANGHAI,CN,SGH,Ocean
SHANTOU,CN,SWA,Ocean
SHEKOU,CN,SHK,Ocean
SHEKOU,CN,SKO,Ocean
SHENZEN,CN,SZX,Ocean
SHIDAO,CN,SHD,Ocean
SKU,CN,SKU,Ocean
TAICANG,CN,TAG,Ocean
TANGGU,CN,TGA,Ocean
TIANJIN,CN,TSN,Ocean
VANCOUVER,CN,VAA,Ocean
WEIFANG,CN,WFG,Ocean
WEIHAI,CN,WEI,Ocean
XIAMAN,CN,XMN,Ocean
XINGANG,CN,XGG,Ocean
XINGANG,CN,TXG,Ocean
XINGANG,CN,XNG,Ocean
XINGANG,CN,TXG,Ocean
XINGANG,CN,XIN,Ocean
XINGANG,CN,XIG,Ocean
XINGGANG,CN,ZIN,Ocean
YANGSAN,CN,YAN,Ocean
